violation_id,inspection_id,violation_category,violation_date,violation_date_closed,violation_type
204851,261019,Garbage and Refuse,2012-01-03 00:00:00,2012-02-02 00:00:00,Refuse Accumulation
204852,261019,Unsanitary Conditions,2012-01-03 00:00:00,2012-02-02 00:00:00,"Unsanitary conditions, not specified"
204853,261023,Garbage and Refuse,2012-01-03 00:00:00,2012-01-17 00:00:00,Refuse Accumulation
204854,261023,Garbage and Refuse,2012-01-03 00:00:00,2012-01-17 00:00:00,Refuse Accumulation
204858,261029,Garbage and Refuse,2012-01-03 00:00:00,2012-03-12 00:00:00,Refuse Accumulation
204859,261029,Animals and Pests,2012-01-03 00:00:00,2012-03-12 00:00:00,"Animals and Pests, not specified"
207746,264687,Animals and Pests,2012-02-08 00:00:00,2012-04-02 00:00:00,"Animals and Pests, not specified"
205869,262387,Garbage and Refuse,2012-01-13 00:00:00,2012-01-17 00:00:00,Refuse Accumulation
207417,264347,Garbage and Refuse,2012-01-11 00:00:00,2012-01-13 00:00:00,Refuse Accumulation
205555,261851,Building Conditions,2012-01-12 00:00:00,2012-01-27 00:00:00,Inadequate Pest Exclusion
